Time_s,Mu
0,3.02
3.15544362088405e-30,2.89904008172868
6.31088724176809e-30,2.89951584067635
1.953125e-07,2.89951404719293
3.90625e-07,2.89950663159945
5.79771739708058e-07,2.89949935266838
7.69513481178138e-07,2.89949241192149
9.59824965781697e-07,2.89948555324742
1.1507103496027e-06,2.89947877791093
1.34217332861037e-06,2.89947208513743
1.53421761164656e-06,2.89946547418189
1.72684693261009e-06,2.89945894430401
1.92006507843824e-06,2.89945249476783
2.11387584014044e-06,2.89944612484084
2.30828310209449e-06,2.8994398337956
2.5032907384582e-06,2.89943362090681
2.69890267220166e-06,2.89942748545481
2.89512281551271e-06,2.89942142672355
3.09195516150652e-06,2.89941544400251
3.28940377439161e-06,2.89940953658383
3.48747266318628e-06,2.89940370376275
3.68616598896249e-06,2.89939794484132
3.88548783530333e-06,2.89939225912231
4.08544239751571e-06,2.89938664591593
4.28603386823143e-06,2.89938110453434
4.48726651541822e-06,2.89937563429495
4.68914462101257e-06,2.89937023451821
4.89167251199544e-06,2.89936490452937
5.09485458610508e-06,2.89935964365759
5.29869521346946e-06,2.89935445123533
5.50319887639072e-06,2.89934932660087
5.70837008267045e-06,2.8993442690947
5.91421334948401e-06,2.89933927806186
6.12073328372862e-06,2.89933435285221
6.32793450413994e-06,2.89932949281853
6.53582168387184e-06,2.89932469731839
6.74439954094202e-06,2.89931996571318
6.95367284850959e-06,2.89931529736828
7.16364640112066e-06,2.89931069165289
7.37432506916305e-06,2.89930614794076
7.58571376117525e-06,2.89930166560901
7.79781744844946e-06,2.89929724403896
8.01064112018706e-06,2.89929288261563
8.22418982790838e-06,2.89928858072866
8.43846869389441e-06,2.89928433777137
8.65348285645703e-06,2.89928015314067
8.86923753345103e-06,2.89927602623811
9.08573801217209e-06,2.89927195646863
9.30298957476541e-06,2.89926794324081
9.52099759159165e-06,2.89926398596827
9.73976752956609e-06,2.89926008406788
9.95930483852656e-06,2.89925623695971
1.01796150689531e-05,2.89925244406902
1.0400703794889e-05,2.89924870482421
1.06225766957275e-05,2.89924501865812
1.08452394776534e-05,2.89924138500666
1.10686979322812e-05,2.8992378033102
1.1292957866133e-05,2.89923427301252
1.15180251954868e-05,2.89923079356199
1.1743905881382e-05,2.89922736441007
1.19706059289673e-05,2.89922398501233
1.21981314386301e-05,2.89922065482845
1.24264886109682e-05,2.89921737332145
1.26556836031788e-05,2.89921413995771
1.28857227300807e-05,2.89921095420894
1.31166123561098e-05,2.89920781554935
1.33483589076377e-05,2.8992047234572
1.3580968903776e-05,2.89920167741463
1.3814448892198e-05,2.89919867690724
1.40488055093174e-05,2.89919572142494
1.42840454789955e-05,2.89919281046113
1.45201755906618e-05,2.89918994351281
1.47572027354691e-05,2.89918712008076
1.49951338255863e-05,2.89918433966919
1.52339759058444e-05,2.89918160178664
1.54737360687402e-05,2.89917890594473
1.57144215375501e-05,2.89917625165909
1.59560395448732e-05,2.89917363844846
1.61985974504563e-05,2.89917106583604
1.64421026822046e-05,2.89916853334818
1.66865627902769e-05,2.89916604051502
1.69319853700809e-05,2.89916358686998
1.71783781259022e-05,2.89916117195048
1.74257488461029e-05,2.89915879529734
1.76741054125107e-05,2.89915645645502
1.79234558234686e-05,2.89915415497154
1.81738081238229e-05,2.89915189039825
1.84251704925791e-05,2.8991496622905
1.86775511856524e-05,2.89914747020682
1.89309585858214e-05,2.89914531370945
1.91854011521308e-05,2.8991431923639
1.94408874657142e-05,2.89914110573939
1.96974261968663e-05,2.89913905340847
1.99550261076358e-05,2.89913703494729
2.02136961060706e-05,2.89913504993556
2.04734451802813e-05,2.89913309795616
2.07342824657008e-05,2.89913117859561
2.09962171549801e-05,2.89912929144362
2.12592586209798e-05,2.89912743609369
2.15234163213965e-05,2.89912561214228
2.17886998020977e-05,2.89912381918945
2.20551187930194e-05,2.89912205683888
2.23226831048754e-05,2.89912032469714
2.25914026777714e-05,2.89911862237447
2.28612876170442e-05,2.89911694948439
2.31323481186182e-05,2.89911530564354
2.3404594506707e-05,2.89911369047211
2.36780372707438e-05,2.89911210359358
2.39526870356391e-05,2.89911054463456
2.42285545138344e-05,2.89910901322495
