Time_s,Target_Torque_ATW_Nm,From_Tractive_Force_ATW_Nm,Max_Available_ATW_Nm
0,0,-0,560.7
3.15544362088405e-30,2.65388585734453e-26,-6.50344389692954,560.7
6.31088724176809e-30,5.30777171468906e-26,-6.47892766053326,560.7
1.953125e-07,0.00164267585797843,-6.37755931759688,560.700026189969
3.90625e-07,0.00328535186700731,-6.27805909784987,560.700051969247
5.79771739708058e-07,0.00487617088254118,-6.18318172730583,560.70007655042
7.69513481178138e-07,0.00647199429735483,-6.08942626084921,560.700100834803
9.59824965781697e-07,0.0080726096718065,-5.99680998754395,560.700124821338
1.1507103496027e-06,0.00967805195876255,-5.90532231881361,560.700148512847
1.34217332861037e-06,0.0112883522413144,-5.81495307055963,560.700171912069
1.53421761164656e-06,0.0129035417108399,-5.72569212306627,560.700195021726
1.72684693261009e-06,0.0145236517694793,-5.63752941614178,560.700217844518
1.92006507843824e-06,0.0161487142654738,-5.55045493648677,560.700240383135
2.11387584014044e-06,0.0177787610813341,-5.46445874022965,560.700262640243
2.30828310209449e-06,0.0194138248848668,-5.37953091316889,560.700284618499
2.5032907384582e-06,0.0210539382579432,-5.29566161742907,560.700306320538
2.69890267220166e-06,0.0226991341929911,-5.21284106506698,560.700327748981
2.89512281551271e-06,0.0243494455917739,-5.13105954349182,560.700348906425
3.09195516150652e-06,0.0260049060367151,-5.05030737658878,560.700369795456
3.28940377439161e-06,0.0276655497081893,-4.97057493042093,560.700390418649
3.48747266318628e-06,0.0293314103224127,-4.89185266438925,560.700410778549
3.68616598896249e-06,0.0310025228744699,-4.81413104765729,560.7004308777
3.88548783530333e-06,0.0326789217077441,-4.73740065103322,560.700450718616
4.08544239751571e-06,0.0343606421052923,-4.66165207196529,560.700470303802
4.28603386823143e-06,0.0360477193276911,-4.58687597956518,560.700489635743
4.48726651541822e-06,0.0377401892691504,-4.51306308489957,560.700508716911
4.68914462101257e-06,0.039438087941383,-4.44020416430156,560.700527549759
4.89167251199544e-06,0.0411414517349678,-4.36829004769595,560.700546136725
5.09485458610508e-06,0.0428503176356074,-4.29731160996387,560.700564480233
5.29869521346946e-06,0.0445647223968062,-4.22725980554467,560.700582582685
5.50319887639072e-06,0.0462847037155295,-4.15812561953568,560.700600446473
5.70837008267045e-06,0.0480102995032244,-4.08990009855177,560.700618073972
5.91421334948401e-06,0.0497415477501942,-4.02257435551834,560.700635467538
6.12073328372862e-06,0.0514784872013675,-3.95613954316553,560.700652629515
6.32793450413994e-06,0.0532211567012578,-3.89058687992672,560.700669562227
6.53582168387184e-06,0.0549695955520819,-3.82590763595053,560.700686267986
6.74439954094202e-06,0.0567238434334022,-3.76209313639471,560.700702749087
6.95367284850959e-06,0.0584839404885661,-3.69913475842999,560.700719007809
7.16364640112066e-06,0.0602499270408143,-3.63702394149343,560.700735046414
7.37432506916305e-06,0.0620218440512728,-3.57575217099153,560.700750867153
7.58571376117525e-06,0.0637997328019516,-3.51531098984369,560.700766472256
7.79781744844946e-06,0.0655836351026687,-3.45569199143153,560.700781863944
8.01064112018706e-06,0.0673735929138849,-3.39688683234536,560.700797044416
8.22418982790838e-06,0.069169648720212,-3.33888721971485,560.70081201586
8.43846869389441e-06,0.0709718456014127,-3.28168490937549,560.700826780447
8.65348285645703e-06,0.072780226772094,-3.22527172067544,560.700841340333
8.86923753345103e-06,0.0745948361158768,-3.16963951945425,560.700855697659
9.08573801217209e-06,0.076415718100432,-3.11478022131607,560.700869854553
9.30298957476541e-06,0.0782429171501286,-3.06068581049919,560.700883813124
9.52099759159165e-06,0.0800764784312896,-3.00734831594841,560.700897575468
9.73976752956609e-06,0.0819164479223283,-2.95475981018197,560.700911143668
9.95930483852656e-06,0.0837628714580438,-2.90291243687554,560.70092451979
1.01796150689531e-05,0.0856157957197039,-2.85179838223086,560.700937705884
1.0400703794889e-05,0.0874752675867723,-2.80140989344633,560.700950703988
1.06225766957275e-05,0.089341334824775,-2.75173925988365,560.700963516123
1.08452394776534e-05,0.0912140454245844,-2.70277883125221,560.700976144299
1.10686979322812e-05,0.0930934480955962,-2.6545210044226,560.700988590507
1.1292957866133e-05,0.0949795916726043,-2.60695823884437,560.701000856725
1.15180251954868e-05,0.0968725259135184,-2.5600830360907,560.701012944919
1.1743905881382e-05,0.0987723009527322,-2.51388795404915,560.701024857037
1.19706059289673e-05,0.100678967295636,-2.46836560674136,560.701036595013
1.21981314386301e-05,0.102592576248641,-2.42350865401822,560.70104816077
1.24264886109682e-05,0.104513179960997,-2.37930980122995,560.701059556216
1.26556836031788e-05,0.106440830216944,-2.3357618269519,560.701070783241
1.28857227300807e-05,0.108375580126418,-2.29285754386316,560.701081843723
1.31166123561098e-05,0.110317483216674,-2.25058982003828,560.701092739528
1.33483589076377e-05,0.112266593535893,-2.20895157643372,560.701103472505
1.3580968903776e-05,0.114222965912262,-2.16793578141701,560.701114044492
1.3814448892198e-05,0.116186655414202,-2.12753546219292,560.70112445731
1.40488055093174e-05,0.118157717856499,-2.0877436939897,560.701134712767
1.42840454789955e-05,0.120136209789433,-2.04855360059053,560.701144812658
1.45201755906618e-05,0.122122188314761,-2.00995835813217,560.701154758764
1.47572027354691e-05,0.124115711389801,-1.9719511892392,560.701164552852
1.49951338255863e-05,0.126116837148638,-1.93452537604286,560.701174196675
1.52339759058444e-05,0.128125624841129,-1.89767424226855,560.701183691974
1.54737360687402e-05,0.13014213411804,-1.86139116685353,560.701193040474
1.57144215375501e-05,0.132166425730074,-1.82566957126,560.701202243889
1.59560395448732e-05,0.134198560506354,-1.79050293775855,560.701211303918
1.61985974504563e-05,0.136238600345398,-1.75588479172788,560.701220222247
1.64421026822046e-05,0.13828660771898,-1.72180871050236,560.701229000549
1.66865627902769e-05,0.140342646127109,-1.68826831580253,560.701237640483
